Macrophages,Fibroblasts,CD4_T,Unassigned,Plasma,Endothelial,OC,NK_Cells,Pericytes,Normal_Epithelial,Monocytes,Myofibroblasts,Adipocytes,CD8_T,B_Cells,Mast,Mesothelial,Tregs,Smooth_Muscle,BC,EC
ATP5MC3,CSGALNACT1,,INPP4B,,OSMR,ZNF384,,,CADM2,UQCC2,RHOBTB3,MT-CYB,,,,FGFR1,,PPP1R12B,SNRPE,RAP1B
WBP1L,SKA2,,CITED2,,SLC39A8,CX3CL1,,,RAB39A,OVOL1,MAF,B2M,,,,SINHCAF,,GADD45G,ID2,HOXB2
MRPL33,B3GNT5,,FAM193B,,NKTR,NME8,,,FAT1,SDR16C5,SNHG7,MALAT1,,,,UTP3,,DPP6,MERTK,PDLIM7
TBC1D9,LAYN,,ARHGEF1,,ELL2,CCNB2,,,MACF1,ROPN1B,SSR4,FABP4,,,,PRNP,,MYH11,GUCY1A1,KRT16
SLC4A7,LPXN,,NET1,,GEM,IRS2,,,NEURL3,NIN,SERINC2,,,,,YJU2,,NFKBIA,ARHGAP25,IFIT2
ELF2,COMP,,TMEM243,,TRIB3,WASL,,,IGFL2,TMEM45B,CREG1,,,,,LYN,,MT-CO1,RASGEF1B,PRRX2
FRYL,TOMM7,,PPWD1,,MSANTD3,LY6D,,,LRCH2,GDA,RNF213,,,,,MAST4,,,TNFAIP8L3,CD200
MDM2,ZNF92,,LEPROTL1,,ZYX,NCK1,,,HPCAL1,CDKN3,NDUFB7,,,,,JAK1,,,TGIF1,TUFT1
MOB2,RAB33A,,ARHGDIB,,DGKD,CFLAR,,,NDN,PAWR,NEDD4L,,,,,CYSTM1,,,LAT2,ATAD2
CSRNP1,SMC2,,SCPEP1,,MTSS1,PRTFDC1,,,NRN1,LMCD1,NDUFS6,,,,,GNAI2,,,GFOD1,HMGA2
MAP2K3,FKBP5,,METTL17,,IFRD1,SYNE2,,,SDF2L1,DDX39A,EPCAM,,,,,GBE1,,,MKI67,CSTB
STX11,MTSS1,,TBC1D8,,DDR2,SMAD3,,,C1QL2,EPC1,ATP5ME,,,,,GABPB1-AS1,,,SLC7A7,ATP5MC1
BTG3,IMPA1,,UBN2,,SAMD4A,MEIS1-AS2,,,ARHGAP6,NMB,GPATCH8,,,,,SDCBP2,,,TPI1,SLC43A3
OTUD4,RNF144A,,GZF1,,BRAF,YWHAH,,,TMEM51,COL16A1,MFGE8,,,,,WASHC4,,,CECR7,CTSD
RNF19B,P3H3,,BEX3,,SMIM3,PDLIM7,,,MIR155HG,KLF6,MBNL1,,,,,NEDD4L,,,CENPW,C2CD4A
RPS29,NCALD,,TOB1,,UBA6,WNT11,,,RPL36A,B4GALT1,EHD1,,,,,PLAU,,,DNAJB13,SOCS3
CDC37,SULF2,,RNF213,,RNASEK,LTB,,,UBALD2,CLMP,MEF2D,,,,,CTNNAL1,,,SPRY2,BISPR
RIT1,PMEPA1,,MSI2,,DUSP16,PDE8A,,,METTL26,MFAP2,C1orf56,,,,,ATP5PF,,,DHRS7,NNMT
NME1,LMOD1,,TGFB2,,SLC43A2,ZNF100,,,PAX5,MLF1,HIPK3,,,,,NFKBIE,,,LRRC34,EXT1
GABPB1,NEDD4L,,NR1D1,,INO80D,HERPUD1,,,COL5A2,ZNF331,UTP3,,,,,DDX21,,,ACTN1,SERBP1
RNASE6,NAA38,,MANF,,GAL,DAAM2,,,RSPO3,EIF4G3,NUDT4,,,,,TIMP1,,,INHBA,BEX1
JAG1,ATG14,,RORA,,EVL,LYN,,,SYP,CCL28,TSPAN3,,,,,GNAI1,,,TSHZ2,KLK10
FNBP1,HIVEP1,,SLC6A6,,INTS6,NUSAP1,,,RASGRP2,LYN,ITSN2,,,,,IRX4,,,HSPA1B,ELK3
VAMP2,HERC3,,CNKSR3,,SOX7,WNT7A,,,HSPH1,KLF2,SDCBP,,,,,GBP2,,,CLIC5,CMTM7
A1BG,KAT2B,,GNA12,,ITGA2,ADPGK,,,LSM2,ITGB4,ZFX,,,,,FKBP5,,,MAFB,KCNK1
PSMD6,ANXA6,,NDRG1,,RASA2,C15orf48,,,DDX39A,WTIP,ASPN,,,,,DUSP5,,,CDKN2D,PTPRJ
SPAG9,MARCKSL1,,TINF2,,CORO1C,MYO1B,,,PXDNL,TTYH1,COQ10B,,,,,PXDC1,,,MFGE8,AHNAK2
TTYH2,NDUFC2,,SLC25A38,,POLM,CSF1,,,CAVIN1,RCL1,ADD1,,,,,RND3,,,BIRC5,CALM2
ACAT2,DTYMK,,MFSD1,,GJA4,AUH,,,SOX9,RAB30,AKT3,,,,,LHFPL6,,,DAPK1,CISH
ATP6V1H,FSTL3,,DDX39A,,RASSF2,SLC20A2,,,HHIP-AS1,INPP4B,CREBRF,,,,,CEMIP2,,,SMCHD1,ATP5F1B
KBTBD8,MAP1A,,LOXL2,,ADGRL4,HOOK3,,,ZFAND5,NR2F2,JMJD1C,,,,,COL6A2,,,FAT1,SMAP2
EIF5,MAF,,EPAS1,,SLC16A1,EDRF1,,,TCIM,ITGAV,PCNX4,,,,,KHDRBS3,,,PALMD,MAP2
CRIM1,PABPC1,,OTUD1,,NPC1,AP3M2,,,KLHDC7B,IP6K1,GAK,,,,,PAWR,,,TMEM47,EBNA1BP2
EIF4A1,TMEM26,,P3H1,,YPEL2,SGK3,,,PRKAR2B,OSER1,CAB39,,,,,UBE2D1,,,OSR2,HLA-DPA1
CCND1,LOX,,EIF2AK3,,ARHGAP26,LAMP3,,,MIR4435-2HG,MYEF2,SLC25A25,,,,,ZNF267,,,ADAMTSL4,PIK3CD
SLC25A5,LNPEP,,GLRX,,LPP,IRF2BPL,,,ALDH1A3,PLD3,TSPYL1,,,,,PERP,,,PPP1R3C,PDLIM4
ST3GAL6,CEP152,,BDH2,,ZBTB38,MRPL12,,,LINC02381,PVT1,CREB5,,,,,MICAL2,,,DDX39A,INAFM1
TNFRSF4,HOXC9,,KIF21A,,CREBZF,CDKN2AIP,,,IER2,SIVA1,TMEM165,,,,,TLNRD1,,,TFEB,BTG3
GRAMD1A,MAML3,,LRRC8A,,AFAP1L1,CWF19L2,,,ARL4C,GABARAPL1,NKTR,,,,,CIRBP,,,PSIP1,IER3-AS1
PPA1,CD248,,SLC38A6,,RNF144B,NEDD4,,,FKBP1A,BMP1,CYLD,,,,,SPHK1,,,CLSPN,NFKBIE
OSGIN2,DRD4,,PEAK1,,ZNF721,TMEM47,,,PEG3,RASSF8,KAT6A,,,,,PLAUR,,,CNTN4,PER1
CYCS,GNAI2,,ASNS,,EPB41L4A-AS1,IGFBP5,,,SLC25A4,BHLHE41,HIVEP2,,,,,CSF1,,,SYNE2,SPSB1
NFKB2,ATP5IF1,,C17orf67,,SLC20A1,ADAM8,,,KCTD12,DUSP16,CSGALNACT2,,,,,EPS8,,,YWHAH,COL6A2
EIF4A2,USP54,,MTURN,,PTPRE,PLAT,,,ITGB6,RGCC,STK4,,,,,NORAD,,,ADAMTS5,MT1E
SNHG12,NDUFB1,,MED15,,MIR222HG,HEY1,,,GADD45A,SSPN,PSMD6,,,,,HLA-E,,,RNF144B,PRKAG2
EIF3M,NBN,,ATP6V1H,,MLH3,PBX4,,,GRIP2,MED17,BCL6,,,,,SGF29,,,ARHGEF6,RHEX
CDKN2B,RNF149,,SSH1,,SLC7A5,TPM1,,,MRPL57,TYMP,SACS,,,,,TGFBR3,,,PLAC8,NDUFA1
ZNF746,PLXNA2,,CEP135,,RPS10,ZNF254,,,KIAA1755,CD302,HBP1,,,,,FOXC2,,,PELI2,PLEKHO1
RPL13A,PXDN,,RNASE1,,LDHB,NDC80,,,DUT,EVA1B,MAP4K5,,,,,THUMPD3-AS1,,,KLK7,SLCO3A1
PALLD,TTC39B,,SLC26A11,,FLCN,ZCCHC2,,,IL34,ARL6IP1,RBMS1,,,,,EIF5,,,TRIM38,BAALC
ZNF350,TMEM200A,,MAP1LC3B,,PDLIM3,IFIT5,,,KLK8,LACC1,HMGB2,,,,,NRG1,,,DIO2,IL4I1
EVL,NRIP1,,FAM43A,,ARHGAP25,ADAMTS1,,,TPI1,RNASEK,INO80D,,,,,CD55,,,RND3,STX12
RHOG,PIN1,,CRIM1,,IGFBP6,MYBL2,,,CCNE1,CSPP1,SDE2,,,,,AKAP12,,,TNFSF15,CTSZ
LSP1,ERAP2,,WRN,,IER5,NCOA7,,,NDUFA4L2,TMEM106C,PDLIM1,,,,,MAP1B,,,OPTN,IFITM2
NFKBID,PMAIP1,,ANKS3,,NES,LIMA1,,,ZFP36L2,HTATIP2,USP47,,,,,TAGLN,,,MALT1,RNF223
GPRC5A,ARL5B,,SLC35E3,,UACA,GSDME,,,OLR1,CAPS,KIF1B,,,,,TACSTD2,,,IL6,PTBP2
DDX39A,C1QTNF1,,LARP6,,PRKD1,TCEAL9,,,MRAS,MIB2,LEMD3,,,,,IGFBP2,,,MAML2,LPIN2
MAP4K4,ABRACL,,CEBPB,,LAPTM4B,MTERF4,,,IL17RB,TOPORS,ARHGAP42,,,,,IFNGR1,,,HSPA6,RTP4
MREG,AGTR1,,RAN,,MYH9,CXCL6,,,ASPM,MCOLN1,UBR3,,,,,FHL2,,,FGFBP1,UPP1
OASL,P4HA3,,CCNL1,,BTG1,IFNGR2,,,SPARC,NXN,VMP1,,,,,EDN1,,,RNF145,ANKRD28
SERPINB1,CNIH3,,FAM110B,,BCL6B,ZNF493,,,LGALS1,IL6,FAR1,,,,,CAVIN3,,,ACSL4,HNRNPAB
XBP1,CACYBP,,IL32,,CEMIP2,PDGFB,,,SH3KBP1,ZC3H11A,ANKRD12,,,,,CLEC2B,,,SPRY1,LYAR
FKBP4,SELENOW,,TCF7,,PRKX,PLSCR1,,,CDKN3,ZNF335,SESN2,,,,,MYL6,,,P2RX7,KCNQ1
LPL,CDH2,,BAZ1A,,PRNP,LEPROTL1,,,CHI3L2,INPP1,PXDN,,,,,FEZ1,,,SLC2A3,ABTB2
BCL2,ANXA11,,TUBB2A,,OTUD4,PSIP1,,,LYAR,SLC36A4,CHSY1,,,,,PDLIM4,,,ALDH1A3,MFAP2
RPS21,TIPARP,,TIPARP,,DUSP8,RECQL,,,POLR2I,PEA15,TACC1,,,,,SNU13,,,SESN3,TSPAN14
SLC2A5,MEGF6,,KAZN,,BCL2,PCOLCE,,,HIF3A,PXDC1,SEL1L,,,,,DKK1,,,FAM111B,UBE2S
WFDC2,NCOA2,,BIRC3,,CADM1,CTCFL,,,CARHSP1,AP3M2,MAPK8,,,,,CDH13,,,RDX,HLA-DPB1
PMAIP1,HCFC2,,STX12,,ERBIN,AGTPBP1,,,PI3,SPATS2L,PNP,,,,,G0S2,,,ADGRA2,ILF3-DT
GPX4,CHSY3,,ADAMTS1,,ASAP1,TIMP3,,,SBDS,CENPW,NXN,,,,,DST,,,MT1G,TXNRD1
DNAAF1,SERTAD2,,SORBS2,,SERINC5,IMPA1,,,PLEC,FHL2,USP38,,,,,HLA-A,,,MACF1,NFATC2
ARHGEF10,PUS7L,,CDC14A,,MYO15B,CALD1,,,COL25A1,TUG1,MSMO1,,,,,SELENOK,,,NIN,NDUFS6
S100A4,CPNE7,,METRNL,,TGM2,ZRANB1,,,TXNDC17,CYSTM1,MTMR6,,,,,HLA-C,,,CCNB1,PLEKHF1
CD300A,WIPF1,,RAB31,,FNDC3A,IREB2,,,ARHGEF6,RB1,PLPP3,,,,,SQSTM1,,,CLIC2,KLF5
GPAT3,LACTB,,PLA2G4C,,SLC16A6,DLK1,,,TMSB15A,TSPAN4,FERMT2,,,,,CD74,,,POPDC2,RARRES2
RBM3,AMIGO2,,MAML2,,SNHG8,APOC1,,,S100A1,MKI67,ADCY3,,,,,GADD45A,,,RNF19A,CDC42SE1
SLC25A6,NRIP3,,ARSJ,,ITGB3,NCALD,,,NOVA1,FKBP10,SLC6A8,,,,,NFKBIA,,,SLAIN1,GAS7
CCL4L2,RAB2B,,CDC42EP2,,U2AF1,RAB25,,,TOMM5,ARFGEF1,MT-ND4L,,,,,IGFBP1,,,HIF1A,UBALD2
PPP1R15A,WDR47,,TIFA,,GJA1,BOLA3,,,SPCS3,PLK3,LBR,,,,,ANXA2,,,GABPB1-AS1,FOXN2
CST7,ITGA10,,ABR,,SINHCAF,DNAJB9,,,KLRF1,FBXO33,SECISBP2L,,,,,ANXA5,,,SPON2,FABP3
G0S2,BZW1,,CPM,,SEMA3B,NPAT,,,FBXO2,UBASH3B,CDK17,,,,,SAA1,,,ANKRD10,HOXB8
HSP90AB1,CXorf38,,NFATC1,,PVT1,PRH1,,,CKS1B,CDC37L1,FNDC3A,,,,,UBC,,,CPNE8,MUC20-OT1
RACK1,FOSB,,APLP2,,SNTB2,STAM,,,CXCL6,PDLIM7,CDK6,,,,,,,,ASB2,NFKB1
HSP90AA1,MT1F,,NOP53,,RHBDF2,TK1,,,GAS7,EFNB2,PLPP1,,,,,,,,ASRGL1,SBDS
MT-CYB,TWIST1,,MFHAS1,,SRGAP1,FAM20C,,,OGFRL1,GPNMB,LDLR,,,,,,,,SSPN,AREG
VIM,MACF1,,ATF3,,CTNNB1,CGAS,,,RBM3,RELT,PGM3,,,,,,,,AMOTL1,OSER1
,SYNRG,,HIP1,,SCARF1,CRTC2,,,MKI67,PLXNA2,PPTC7,,,,,,,,PLSCR1,SEMA7A
,VWA1,,MYO9B,,MIR4458HG,HAPLN3,,,SMCHD1,AEN,ZNF704,,,,,,,,KCNK12,DAPP1
,TMEM106C,,CYP7B1,,TLL1,LAP3,,,GSTO1,RARRES2,SLC11A2,,,,,,,,CLIC4,CYCS
,IL23A,,EIF1B,,RND3,KHDRBS3,,,FAM107A,SMIM22,YPEL2,,,,,,,,TNNC2,RTKN2
,OLFML2A,,ZNFX1,,DGKH,WHAMM,,,ANKRD10,TPRG1L,CREM,,,,,,,,JUP,HDAC9
,CCL11,,ANO6,,GOLGA8B,FZD8,,,PLAC8,NFAT5,COX4I2,,,,,,,,SLC43A3,TMCC3
,ECI2,,DRAM1,,GDF15,ZNF708,,,SOX10,AURKB,BACH1,,,,,,,,LRRFIP1,SLC20A1
,ZNF688,,CFH,,FOXF1,ANKRD36,,,DLG2,ITGB6,ADAMTS9-AS2,,,,,,,,CENPM,DTNA
,VPS13C,,ELL2,,RCAN1,CASP8,,,CHRD,GFOD1,ITGA5,,,,,,,,HORMAD1,VTCN1
,THBS2,,SNHG15,,SCIN,IL4I1,,,RAB9A,SIK1,MBNL1-AS1,,,,,,,,OLR1,SLC7A8
,RNF19B,,TMEM167B,,RASAL2,ZNF92,,,RAPGEF5,MX2,FXYD1,,,,,,,,ST3GAL6,GFOD1
,ABCC4,,GDF11,,PDLIM1,SETDB2,,,FOSL1,STARD10,SPARCL1,,,,,,,,ARL6IP5,BLVRB
,SCAPER,,SDCBP2,,LMCD1,UQCC2,,,DTYMK,SLC11A2,ANKRD28,,,,,,,,GNE,RHOF
,USF1,,WHRN,,GPATCH2L,CCDC82,,,SCG2,SDC4,TM4SF1,,,,,,,,CEBPD,UCA1
,APAF1,,GLA,,CLU,GCHFR,,,BEX2,RHOBTB3,TCEAL7,,,,,,,,SLC12A2,TRIB3
,HMGN3,,FKBP1A,,DIP2C,RPS17,,,CDKN2D,MTR,MDM4,,,,,,,,JMJD1C,HEBP1
,NIN,,CDR2,,TRIM56,IL6,,,MBNL2,AUH,PHC2,,,,,,,,LARP6,SLC22A17
,BTN3A1,,CERS5,,FGFR1,POGLUT1,,,ATF5,ZFP36,CIRBP,,,,,,,,TRIM22,BMP1
,PRELID1,,SLCO3A1,,HOXD10,NUDT1,,,TUBB6,CYTOR,PDLIM5,,,,,,,,AHR,EIF3M
,FBN1,,UTP3,,IL6R,MAP3K5,,,PSAP,EGR3,HSPA13,,,,,,,,THSD7A,OSMR
,SMPD1,,INPP1,,GPX3,ZCCHC3,,,CLIP4,ZC3H6,P3H2,,,,,,,,COL8A2,ATP5ME
,DACT1,,SSPN,,CDC37,CEP55,,,CYP1A1,TBC1D9,UTRN,,,,,,,,FYN,ARHGDIB
,CILP2,,STARD13,,ANKRD36C,CYP20A1,,,ADAMTS6,ATP9B,TMEM38B,,,,,,,,SPTSSA,SERPINB1
,DYRK3,,TGIF1,,ARAP2,TIFA,,,EXT1,EPB41L2,KCNMB1,,,,,,,,IL1R2,UFM1
,FNDC1,,RAB21,,EFNB1,SMYD3,,,NCKAP5,RALGAPA2,PKD2,,,,,,,,CAMK1D,N4BP1
,SENP7,,LONRF1,,ADGRF5,UQCRHL,,,SPARCL1,GPR137B,PDGFC,,,,,,,,NR2F1,LSR
,UBE2Q2,,PLEKHO1,,INSIG1,KAT6B,,,MAP3K8,MLPH,DDI2,,,,,,,,KLK8,PLEKHF2
,HTRA3,,PNP,,ST3GAL1,MTMR4,,,LINC01550,MXD4,SLC16A1-AS1,,,,,,,,TPM4,SDCBP
,HMOX2,,MAP3K8,,LINC01355,GDAP1,,,DCLK1,TOP2A,PITPNC1,,,,,,,,SH3PXD2B,CCND1
,ATP5ME,,SERINC1,,RBP5,ATAD2B,,,DNAJA1,GDF11,SLC36A4,,,,,,,,CDKN2B,FERMT1
,SETX,,PIM1,,IQCA1,UGT2B7,,,CD14,PRH1,PTN,,,,,,,,TFPI,EFEMP2
,TMEM45A,,ZNF841,,PPFIBP1,ZC2HC1A,,,KCNN4,ZNF688,FGFR1,,,,,,,,LIMS2,LYST
,MRPL33,,SNAI1,,SRSF7,FEM1B,,,EN1,EEA1,NOTCH3,,,,,,,,TUBB2B,SERTAD3
,ARAP1,,FILIP1,,CACNG8,FMNL2,,,DPP10-AS1,TMEM165,CSF3,,,,,,,,BTN3A2,CTTNBP2NL
,SLC24A2,,PKD2,,LCN6,TLNRD1,,,MLLT11,SHPRH,GAB2,,,,,,,,TTC3,TFCP2L1
,ACO1,,XYLT1,,SNHG7,SP110,,,ADGRG1,ECI2,FNIP2,,,,,,,,SOX8,IDI1
,ANTXR2,,VCAM1,,EPHA1-AS1,DSTN,,,IL1RN,CTBP1-DT,FADS1,,,,,,,,SERPINH1,SYNJ2
,ZNF503,,ZNF333,,SH3BP5,FXYD6,,,TAS2R30,MED23,PAPPA,,,,,,,,MIB2,MT-ATP8
,MYL12B,,SELENOP,,GPRC5A,WNT5A,,,NOTCH3,STEAP4,SERPINI1,,,,,,,,TBC1D1,ST6GAL1
,ARMCX6,,SNN,,FOSL1,DEPP1,,,IGFL2-AS1,TENT2,TBL1X,,,,,,,,HBEGF,ZNFX1
,MEF2C,,ACOT9,,BAG3,NFIL3,,,MAP4K1,CCDC32,IGFBP3,,,,,,,,SLCO4A1,TRIO
,SERPINB1,,TSHZ2,,EIF4A2,AKAP1,,,C19orf12,C12orf75,GABPB1-AS1,,,,,,,,KLF5,BDKRB2
,SLC38A1,,EHD1,,CIRBP,MIS18BP1,,,LGI4,ARHGAP29,MANF,,,,,,,,BOC,ARID3B
,FKBP10,,RABGEF1,,RND1,SERPINB8,,,PIM1,NREP,SMAD3,,,,,,,,FAM89A,IFI44
,PLXDC1,,MGRN1,,DNAJA4,RBM7,,,ATF7IP,MT-ND4L,CNST,,,,,,,,LINC00938,AOC1
,PDGFRB,,ARHGEF40,,LINC00513,CREBZF,,,GLYATL2,BST2,RICTOR,,,,,,,,SIK1,SP100
,PIBF1,,KIAA1328,,RFLNB,PAPOLG,,,ADCY7,SORL1,COL15A1,,,,,,,,CEBPA,STAT1
,CMTM8,,FAM241A,,GYPC,HELZ2,,,EVA1A,SFN,FOXS1,,,,,,,,SLC25A4,GPRC5C
,DNAJC12,,APOL1,,MSN,HMMR,,,MICU3,RPL23,KCNAB1,,,,,,,,MADCAM1,RBMS1
,DOCK4,,SHC2,,SLC2A3,ARFGEF1,,,SLC25A37,PPIB,SELENOK,,,,,,,,SEL1L3,PXDC1
,MAPRE2,,DSE,,MT-ND4L,PIK3CA,,,UCHL1,SORBS2,MYO9B,,,,,,,,GCHFR,CHMP1B
,FCHSD2,,MYL9,,NRIP1,INO80,,,CHI3L1,TCEA3,KRT6B,,,,,,,,MPHOSPH8,BCL2A1
,DNAJB4,,AEN,,CREB5,CTDSP1,,,RERG,TTYH3,HAND2,,,,,,,,KCNAB2,ACSL4
,ZFYVE26,,COL6A3,,CALM2,AP5B1,,,CITED2,CPD,ATP2B4,,,,,,,,TOMM40,DNAH2
,NSD3,,BTG2,,FNIP2,STK39,,,PLPP4,CDC37,XIST,,,,,,,,PILRA,HK2
,RAB30,,SPRY1,,CAV1,ST6GAL1,,,CCDC82,PNRC1,CACNA1C,,,,,,,,COLGALT2,ITGA3
,TBC1D1,,PLVAP,,DUSP1,EMX2OS,,,ENG,NSMCE3,LARGE1,,,,,,,,TUBB6,RELT
,ABHD2,,IER2,,YBX3,PRSS8,,,MILR1,PSD3,SDF2L1,,,,,,,,MGAT4A,LYN
,FMOD,,TSPYL2,,TNFRSF9,MKI67,,,NFKBID,MAPT,COL27A1,,,,,,,,RIN3,ZYX
,CD47,,EAF1,,TIMP1,CFB,,,PPP1R14A,SMARCA1,PPP1R3C,,,,,,,,TMOD1,ZNF506
,MFSD1,,ZNF267,,TAGLN2,CCDC174,,,ZSCAN18,FAM120B,RERE,,,,,,,,TES,IFI44L
,BTBD1,,PDK4,,STXBP6,PHF19,,,AUH,TNS1,PDE5A,,,,,,,,CITED2,YPEL5
,SBDS,,ERG,,FAM13C,ZNF830,,,IFNGR2,SMIM14,CXCL1,,,,,,,,C21orf91,TCF15
,C1R,,SYNE1,,TXNIP,MYO6,,,CHL1,BTN3A1,ERRFI1,,,,,,,,NOTCH4,APAF1
,CLEC11A,,EDIL3,,CABP1,ASPM,,,CKAP2,HOTAIRM1,RBM24,,,,,,,,WNT5A,HLA-DMA
,TSPAN4,,ADIRF,,ICAM1,MPP7,,,ROMO1,ZNF292,ACTG2,,,,,,,,MBNL2,KIF1B
,CHD6,,GGT5,,JUND,RAB11FIP2,,,CDCA8,ATP2B4,NPY1R,,,,,,,,LACC1,NCOA3
,IRF2BPL,,YPEL2,,PMAIP1,MIR99AHG,,,CPA4,INSR,ENPP2,,,,,,,,ETV1,SLC44A2
,OSTM1,,EEA1,,FOSB,ARID3A,,,CYP26B1,RARA,ELK3,,,,,,,,ARID5A,LGALSL
,MEX3B,,SMTN,,XIST,EPB41,,,TBX1,SMC4,TIMP3,,,,,,,,RHOV,CLDN15
,NR4A1,,PLTP,,PPP1R15A,ARID2,,,POLR2J3,BCL2A1,HSPA1A,,,,,,,,CWF19L2,COL16A1
,CCDC93,,TM4SF18,,EGR1,GORAB,,,HOTAIRM1,TNFRSF14,CALM2,,,,,,,,DEPDC1,DKC1
,CCDC82,,ITPKC,,TTN,RCBTB2,,,SLC26A2,RDX,SLC8A1,,,,,,,,MIR99AHG,CXorf38
,GNPTAB,,DUSP8,,TNFSF9,DPYSL2,,,ASNS,BAZ2B,MITF,,,,,,,,EGR2,TRIM44
,ROMO1,,KCNE4,,ETS2,ZFC3H1,,,DNAJC12,LGALS9,LCP1,,,,,,,,CDC42EP3,KDM6B
,GSDME,,BMPR1B,,CD93,ZNF90,,,PDLIM7,JPT1,CCBE1,,,,,,,,SUPV3L1,OGT
,CASP8,,ANGPT2,,JUNB,TMEM45A,,,TNS1,PIK3C2B,WNT2,,,,,,,,FABP5,PPTC7
,EMILIN1,,RRP12,,SRGN,CCDC115,,,CLIC4,GBP3,ADPRHL1,,,,,,,,C11orf96,KLF3
,TAB2,,NFKBIE,,CXCL1,CLK3,,,CHCHD7,CBX3,TMOD1,,,,,,,,SH3PXD2A,BMP7
,CDKN2AIP,,ARMCX3,,NOX5,OSER1,,,VEGFC,CARD16,KCNK6,,,,,,,,GPX7,DEGS1
,CAPZA2,,ADAM12,,ZFP36,ZMIZ1,,,GRAMD1B,VAMP5,ADRA2C,,,,,,,,ADGRE5,AFDN
,LIMD2,,NFKB2,,TSC22D1,ZFHX3,,,MIR222HG,PHKG1,KRT19,,,,,,,,PDE5A,MRPS6
,RECQL,,PTGS2,,HSPA1B,DUSP11,,,EFEMP2,ATP7A,TMSB4X,,,,,,,,CHST11,PLEKHA2
,JUP,,TNFRSF10B,,HSPA6,FAM89A,,,SCARF2,PGM3,ATP1A2,,,,,,,,GEM,ITGAV
,OLFML1,,LAYN,,ACTG1,ZNF91,,,PLD3,TMEM106A,GUCY1A2,,,,,,,,PPARG,LINC01320
,TRIM37,,MGAT2,,RGCC,MIS12,,,CSKMT,WEE1,SLC22A3,,,,,,,,CCSER2,MALT1
,BORCS6,,JAM2,,HSPB1,ATF6B,,,PDE10A,ZFYVE16,VIM,,,,,,,,MAP3K8,SLC25A25
,ARSJ,,FRMD4A,,CLDN5,RAD50,,,UQCRHL,CREB3L2,GJC1,,,,,,,,ATM,HOMER3
,CD63,,ARID5A,,ACTB,NFIX,,,RND1,SYTL3,RAMP1,,,,,,,,KIF2C,TANC2
,A4GALT,,CHIC2,,NFKBIA,SLC25A4,,,TMPO,KREMEN1,DPP6,,,,,,,,ANK3,PLK2
,RNF19A,,HSPB8,,HSP90AA1,LARP6,,,GPX7,PSPH,PGR,,,,,,,,UQCC3,ITGA2
,SMC5,,DKK3,,DNAJB1,RNF168,,,C2CD4B,DNAJB1,MYL9,,,,,,,,MED10,RICTOR
,ATXN7L3,,CREB3L1,,B2M,SLC39A14,,,EPGN,PRKACB,HOXD11,,,,,,,,FBLN2,FXYD6
,MCM3,,TNC,,STC1,MBTD1,,,MX1,POLR2J3,MT-ND2,,,,,,,,TNFRSF1B,APOL2
,LEPROTL1,,SELENOS,,MT-CYB,EIF3G,,,BOC,LBR,C11orf96,,,,,,,,KCNN4,NFATC1
,CRYL1,,ELL,,MT-ATP6,EEA1,,,TMEM47,TC2N,MALAT1,,,,,,,,MIR205HG,INPP1
,FAM76B,,FRZB,,MT-CO1,PCF11,,,CREG1,GLUL,MT-CYB,,,,,,,,ANTXR1,PIK3IP1
,PLXNC1,,PMAIP1,,,SIK3,,,CCNA2,PAFAH1B3,PAGE4,,,,,,,,SLC15A3,CHCHD7
,CCPG1,,KDR,,,HSPH1,,,APOE,CCSER2,MT-ATP6,,,,,,,,POLD4,EHD1
,RHOD,,LIFR,,,CEP290,,,WNT5A,RRAGD,,,,,,,,,CCDC28A,ARAP2
,FDPS,,COL5A1,,,MXI1,,,JAK1,IFI44,,,,,,,,,AK9,RUNX1
,ZFYVE16,,ZFPM2,,,CENPN,,,SUPV3L1,ABRACL,,,,,,,,,ANPEP,H6PD
,SETD2,,TNFRSF1B,,,CEP350,,,ADAM17,KIZ,,,,,,,,,TDP2,HELB
,GSTM3,,CIRBP,,,SUPV3L1,,,CEP55,ANKRD36B,,,,,,,,,CACNA1A,TAB2
,IGFBP4,,ITPRIP,,,PAXBP1,,,CLEC7A,SLFN11,,,,,,,,,NINJ2,RASSF8
,SPG11,,SCARF2,,,GLYR1,,,COL9A2,SELENOK,,,,,,,,,TMPO,RIN2
,SNX9,,CYB5D1,,,USP15,,,PHACTR2,PPP1R1B,,,,,,,,,TBC1D4,GBP2
,ZNF43,,BHLHE40,,,HELB,,,IFIT3,TRAF5,,,,,,,,,BHLHE41,CLDND1
,RFLNB,,HSPA12A,,,JMY,,,CSF1R,ARHGEF6,,,,,,,,,MAFF,NFAT5
,EEPD1,,TNS2,,,CENPX,,,LAPTM4A,TRIM38,,,,,,,,,NOP2,C1orf56
,CILP,,THAP2,,,ATP6V0A2,,,MYH9,OLFM2,,,,,,,,,MXRA7,B4GALT1
,NEK7,,FNIP2,,,PAN3,,,FJX1,MID1IP1,,,,,,,,,ARHGDIB,NPC1
,FKBP7,,RARRES2,,,FAM76A,,,RPL39L,MEX3A,,,,,,,,,DHRS3,MAFK
,MGAT1,,MICU3,,,ZNF136,,,MSL3,ARID1B,,,,,,,,,CLIP3,TACC1
